"frame_no","bodyparts","x_p1","y_p1","c_p1","x_p2","y_p2","c_p2"
10,"LHeel",200.004,962.107,0.431712,526.65,961.843,0.903778
10,"RBigToe",240.859,984.761,0.796466,449.582,948.317,0.870685
10,"RSmallToe",231.837,993.751,0.838811,453.849,930.286,0.832309
10,"RHeel",190.899,989.283,0.839978,499.352,925.781,0.589967
11,"Nose",240.873,522.205,0.921149,440.319,513.015,0.859671
11,"Neck",199.883,585.515,0.820362,485.675,567.343,0.905762
11,"RShoulder",195.483,590.081,0.915493,454.137,567.453,0.872296
11,"RElbow",199.983,676.252,0.918625,454.069,639.996,0.777795
11,"RWrist",232.016,744.578,0.978126,422.435,703.431,0.843335
11,"LShoulder",200.074,580.959,0.736548,503.963,562.998,0.87965
11,"LElbow",0,0,0,531.255,640.044,0.869584
11,"LWrist",0,0,0,458.736,662.528,0.865175
11,"MidHip",200.044,735.081,0.789293,472.189,717.049,0.813195
11,"RHip",199.992,735.31,0.884031,449.696,717.037,0.875886
11,"RKnee",209.158,853.13,0.899953,458.506,821.512,0.865312
11,"RAnkle",195.624,966.729,0.88399,485.994,921.252,0.910368
11,"LHip",200.116,730.592,0.709903,490.302,717.073,0.861422
11,"LKnee",209.134,848.529,0.784696,485.825,830.447,0.872208
11,"LAnkle",200.213,957.313,0.842326,521.954,948.46,0.85832
11,"REye",236.266,517.426,0.917345,0,0,0
11,"LEye",0,0,0,449.349,494.949,0.931931
11,"REar",204.582,522.053,0.97081,0,0,0
11,"LEar",0,0,0,481.117,512.911,0.877387
11,"LBigToe",263.361,957.631,0.635965,481.348,971.135,0.868349
11,"LSmallToe",245.341,952.975,0.57206,494.835,980.101,0.802393
11,"LHeel",195.516,966.647,0.412205,526.651,957.623,0.894735
11,"RBigToe",240.966,989.188,0.800295,449.517,948.398,0.853798
11,"RSmallToe",231.885,993.818,0.848516,449.647,930.334,0.813873
11,"RHeel",190.881,989.294,0.832568,495.04,925.862,0.603663
12,"Nose",240.913,522.235,0.927545,440.32,513.018,0.862618
12,"Neck",195.709,585.512,0.81017,485.694,563.096,0.909578
12,"RShoulder",195.555,590.134,0.921491,454.209,567.387,0.865057
12,"RElbow",199.998,676.222,0.918666,454.082,639.966,0.695809
12,"RWrist",236.138,744.523,0.995252,426.799,703.291,0.744571
12,"LShoulder",195.678,576.537,0.716437,503.924,562.953,0.880759
12,"LElbow",0,0,0,531.202,640.138,0.864399
12,"LWrist",0,0,0,463.085,662.595,0.874878
12,"MidHip",199.9,735.103,0.795296,472.164,717.076,0.808526
12,"RHip",200.059,735.312,0.874705,449.698,717.035,0.868273
12,"RKnee",222.747,853.087,0.902388,458.533,821.565,0.855088
12,"RAnkle",195.721,966.664,0.877449,490.137,921.261,0.902988
12,"LHip",195.572,730.602,0.720155,490.266,717.131,0.859337
12,"LKnee",200.138,848.438,0.834293,485.802,830.528,0.868557
12,"LAnkle",199.914,957.41,0.824769,521.922,952.799,0.860304
12,"REye",236.264,517.488,0.927591,0,0,0
12,"LEye",0,0,0,449.348,494.938,0.935383
12,"REar",204.53,522.129,0.979657,0,0,0
12,"LEar",0,0,0,481.116,508.546,0.876327
12,"LBigToe",258.918,961.982,0.505859,481.305,971.13,0.873342
12,"LSmallToe",240.92,957.401,0.473725,494.796,980.114,0.814197
12,"LHeel",186.535,971.071,0.392084,526.623,957.678,0.900391
12,"RBigToe",245.362,989.209,0.744808,449.506,948.39,0.841105
12,"RSmallToe",236.188,993.827,0.814849,449.639,930.337,0.800471
12,"RHeel",190.959,989.249,0.818764,499.339,925.851,0.587404
13,"Nose",240.929,522.194,0.916021,440.32,513.055,0.865202
13,"Neck",199.903,585.571,0.825701,485.718,563.1,0.904948
13,"RShoulder",195.531,590.189,0.922809,454.309,567.364,0.855656
13,"RElbow",199.984,676.247,0.921971,454.055,640.037,0.721578
13,"RWrist",231.996,744.5,0.999825,426.758,703.295,0.768333
13,"LShoulder",200.045,576.58,0.733587,499.497,562.955,0.879931
13,"LElbow",0,0,0,531.192,640.043,0.857187
13,"LWrist",0,0,0,463.122,667.081,0.885495
13,"MidHip",199.903,730.78,0.800986,472.228,717.079,0.806182
