frame_no,bodyparts,x_p1,y_p1,c_p1,x_p2,y_p2,c_p2
271,Nose,227.127,526.389,0.947493,463.115,512.895,0.861247
272,Nose,227.154,522.297,0.949436,472.21,503.914,0.856516
273,Nose,227.151,526.391,0.948718,476.679,503.972,0.86377
274,Nose,227.149,526.44,0.952849,481.297,503.883,0.902267
275,Nose,227.15,522.297,0.952115,485.659,503.881,0.922796
276,Nose,227.165,522.24,0.950784,485.699,508.488,0.931431
277,Nose,227.172,522.201,0.938305,485.97,504.015,0.926272
278,Nose,227.182,522.25,0.927349,490.344,512.948,0.914376
279,Nose,227.14,526.446,0.924887,490.315,521.912,0.960369
280,Nose,227.209,526.534,0.92495,490.551,522.079,0.965005
281,Nose,222.801,526.627,0.912927,490.524,526.483,0.980188
282,Nose,222.743,526.742,0.883159,494.791,526.632,0.966883
283,Nose,222.738,526.694,0.888691,490.598,526.728,0.95979
284,Nose,222.676,526.521,0.900489,490.607,526.731,0.957807
285,Nose,222.799,526.659,0.867115,494.82,526.565,0.963273
286,Nose,227.14,526.705,0.855801,490.57,526.439,0.971636
287,Nose,227.166,526.784,0.859298,490.43,522.177,0.979085
288,Nose,227.247,531.244,0.837141,490.351,521.97,0.964657
289,Nose,227.21,531.313,0.831647,490.211,521.816,0.952446
290,Nose,227.287,531.187,0.848168,485.888,517.431,0.952651
291,Nose,227.245,531.323,0.821322,485.737,517.369,0.943386
292,Nose,227.204,535.699,0.794677,481.315,517.355,0.926983
293,Nose,227.151,540.254,0.705527,476.693,517.443,0.896721
294,Nose,227.282,535.744,0.443761,467.741,517.583,0.88726
295,Nose,227.315,531.345,0.321571,463.145,521.884,0.918962
296,Nose,0,0,0,458.632,522.182,0.958931
297,Nose,0,0,0,454.216,526.436,0.990085
298,Nose,0,0,0,453.956,526.525,1.01019
299,Nose,0,0,0,449.66,526.529,1.01146
300,Nose,0,0,0,449.367,526.708,0.977256
301,Nose,0,0,0,444.966,526.813,0.941356
302,Nose,0,0,0,444.794,526.807,0.933962
303,Nose,0,0,0,435.893,526.736,0.923547
304,Nose,0,0,0,426.92,526.619,0.939648
